,Accuracy (%),AUC (%),Sensitivity (%),Specificity (%)
SVM (RBF),65.0,70.83333333333334,62.5,66.66666666666666
SVM (Sigmoid),85.0,91.66666666666667,100.0,75.0
SVM (Poly),55.00000000000001,41.66666666666667,87.5,33.33333333333333
KNN,60.0,64.0625,87.5,41.66666666666667
MLP,60.0,64.58333333333333,62.5,58.333333333333336
RF,75.0,84.89583333333334,100.0,58.333333333333336
