iter	F1	Logloss
0	0.8002018163	0.6661722622
1	0.8341658342	0.6451398912
2	0.8615384615	0.6176887516
3	0.8614307154	0.5919636953
4	0.8671679198	0.5709372115
5	0.8709191361	0.5496151408
6	0.8748748749	0.5320009879
7	0.8808808809	0.5184115515
8	0.8825301205	0.5023341376
9	0.8877705083	0.4866870366
10	0.8913370055	0.4749937914
11	0.8977955912	0.460277071
12	0.898	0.446802228
13	0.9010989011	0.4372184152
14	0.906	0.4272022948
15	0.9104552276	0.4168270995
16	0.9173306773	0.4078955086
17	0.919	0.397920734
18	0.9193790686	0.3870889829
19	0.921	0.3783878828
20	0.924	0.368781922
21	0.9254627314	0.3619456612
22	0.9273910866	0.3561078691
23	0.928	0.3490633909
24	0.9305347326	0.3418832623
25	0.9313283208	0.3367065443
26	0.9339339339	0.3313790617
27	0.9369369369	0.3243932155
28	0.9378757515	0.3192953809
29	0.9384076114	0.3134484405
30	0.9401197605	0.3081728285
31	0.945	0.3031367307
32	0.9459459459	0.2990312167
33	0.9464732366	0.2945065598
34	0.9449449449	0.2893716343
35	0.947	0.2851923792
36	0.9484742371	0.2814189674
37	0.9523809524	0.2763724422
38	0.9514757379	0.271714599
39	0.9514757379	0.2669058701
40	0.952428643	0.2636661615
41	0.9529058116	0.2598171819
42	0.9529058116	0.2566406322
43	0.9543859649	0.2527198566
44	0.954954955	0.2490262426
45	0.9554331497	0.2469227217
46	0.954954955	0.243926324
47	0.9574361542	0.2407457512
48	0.956956957	0.2379029413
49	0.9574361542	0.2339554833
50	0.9574787394	0.2310278526
51	0.9589178357	0.228000517
52	0.9594391587	0.2258028162
53	0.9608826479	0.2238227294
54	0.9598796389	0.2214981928
55	0.9618090452	0.2184248451
56	0.9617321249	0.2148783295
57	0.9612870789	0.2124244077
58	0.964231738	0.2099627679
59	0.9662808254	0.2076724501
60	0.967806841	0.20499197
61	0.9682939104	0.203135076
62	0.967806841	0.2012924676
63	0.9693621296	0.199622267
64	0.9703368527	0.1978459366
65	0.9718309859	0.1953288
66	0.9713423831	0.1935161706
67	0.9723200805	0.1912165002
68	0.9728370221	0.1894549831
69	0.9748237664	0.1864537528
70	0.9762985376	0.1849865087
71	0.9767911201	0.1830556719
72	0.9778002018	0.1812563986
73	0.9793450882	0.1796008672
74	0.9793242562	0.1782385249
75	0.9788306452	0.1765212726
76	0.9793242562	0.174541776
77	0.9803129732	0.1724015543
78	0.9803129732	0.1708578079
79	0.9813036887	0.1688797445
80	0.9803129732	0.1674240582
81	0.9798183653	0.1653356473
82	0.9813225644	0.1644092606
83	0.980827447	0.1627417938
84	0.9823321555	0.1611660526
85	0.9823321555	0.1593729443
86	0.9828282828	0.1582269494
87	0.9833249116	0.1563544055
88	0.9833249116	0.1553571727
89	0.9843513377	0.1541109091
90	0.9843671205	0.1530388775
91	0.9858585859	0.1516755187
92	0.984863774	0.1503979963
93	0.984863774	0.1490160029
94	0.9863567458	0.1475418948
95	0.9868686869	0.1463428051
96	0.9883662114	0.1444789346
97	0.9888776542	0.1431252823
98	0.9888663968	0.1418528348
99	0.9898785425	0.1406584682
100	0.9898785425	0.1398361561
101	0.9898887765	0.1389271866
102	0.990389479	0.1373136147
103	0.990389479	0.1364784795
104	0.9908998989	0.1355018499
105	0.991902834	0.134270498
106	0.991902834	0.1330465945
107	0.9929149798	0.1316704599
108	0.9929149798	0.1309341118
109	0.9929149798	0.1294129199
110	0.9944303797	0.1285323269
111	0.9944303797	0.127308399
112	0.9944303797	0.1262239179
113	0.9949341439	0.1250640242
114	0.9949341439	0.1237548714
115	0.9949341439	0.1226226854
116	0.9949341439	0.121594441
117	0.9949341439	0.1206688226
118	0.9954384187	0.1198796377
119	0.9954384187	0.1184449738
120	0.9959473151	0.1172798057
121	0.9959473151	0.1164640063
122	0.9959473151	0.1153149186
123	0.9964521034	0.1144082922
124	0.9969574037	0.1132778161
125	0.9964521034	0.112237455
126	0.9974632166	0.1109604381
127	0.9979695431	0.1102084258
128	0.9979695431	0.1095908205
129	0.998476384	0.1084607067
130	0.998476384	0.1078416909
131	0.9974632166	0.1072189537
132	0.9979695431	0.1061610102
133	0.9979695431	0.1051249372
134	0.9979695431	0.1044520436
135	0.9979695431	0.103656686
136	0.9979695431	0.102966507
137	0.9979695431	0.1022901452
138	0.9979695431	0.1016080081
139	0.9979695431	0.1006247127
140	0.9979695431	0.09974339111
141	0.998476384	0.09877070514
142	0.998476384	0.09775685394
143	0.9989837398	0.09694000982
144	0.9989837398	0.09642543453
145	0.9989837398	0.09563685495
146	0.9994916116	0.09461719287
147	0.9994916116	0.09383061147
148	0.9994916116	0.09321517752
149	0.9994916116	0.09241222107
150	0.9994916116	0.09154820567
151	0.9994916116	0.09077980717
152	0.9994916116	0.09014005221
153	0.9994916116	0.08941762272
154	0.9994916116	0.08874469573
155	0.9994916116	0.0878890558
156	0.9994916116	0.08695952261
157	1	0.08623658129
158	1	0.08564678585
159	1	0.08475667466
160	1	0.0839140559
161	1	0.0831048673
162	1	0.08207897379
163	1	0.08116077568
164	1	0.08020676652
165	1	0.07936041901
166	1	0.0785880641
167	1	0.07784382451
168	1	0.07716209135
169	1	0.07638738595
170	1	0.07533542886
171	1	0.07461610057
172	1	0.07393544497
173	1	0.07299821708
174	1	0.07218248911
175	1	0.07163028256
176	1	0.07073313168
177	1	0.06998299678
178	1	0.06928051043
179	1	0.06874892862
180	1	0.06798984862
181	1	0.067302448
182	1	0.06676520783
183	1	0.06616195801
184	1	0.06559959593
185	1	0.06485548909
186	1	0.06420054426
187	1	0.06369945572
188	1	0.06330113321
189	1	0.06255950847
190	1	0.0618770349
191	1	0.061250546
192	1	0.06048005899
193	1	0.059917044
194	1	0.05927593362
195	1	0.05864588062
196	1	0.05815146372
197	1	0.05748898524
198	1	0.05705452316
