classifier,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_macro_ovr_auc,test_cohen_kappa,fit_seconds,recall_akiec,f1_akiec,support_akiec,recall_bcc,f1_bcc,support_bcc,recall_bkl,f1_bkl,support_bkl,recall_df,f1_df,support_df,recall_mel,f1_mel,support_mel,recall_nv,f1_nv,support_nv,recall_vasc,f1_vasc,support_vasc,lambda,suffix,majority_baseline,n_features
SVM (RBF),0.7069102250012962,0.02421477069351367,0.7067707944562633,0.027585190962469388,0.7482621648460774,0.6196797715070135,0.5865305994157535,0.764805635446444,0.5712094817748817,0.6196797715070135,0.9328722170741958,0.5629690088737453,149.41942191123962,0.5441176470588235,0.4805194805194805,68,0.7,0.6060606060606061,100,0.5902439024390244,0.5318681318681319,205,0.22727272727272727,0.23809523809523808,22,0.7117117117117117,0.5573192239858906,222,0.7997065297138665,0.8664546899841018,1363,0.7647058823529411,0.8253968253968254,34,odd_harmonic,lesion_equalize_ft,0.6767626613704072,360
LightGBM,0.7041944538735885,0.026081272742733884,0.7027656790199902,0.0279476746711287,0.8038728897715988,0.6248578507656665,0.6202554825669526,0.8055991939537932,0.6210169285367307,0.6248578507656665,0.9464145913881604,0.62639456881313,68.16884517669678,0.5294117647058824,0.5294117647058824,68,0.73,0.6606334841628959,100,0.6,0.5956416464891041,205,0.18181818181818182,0.2222222222222222,22,0.581081081081081,0.5584415584415584,222,0.8987527512839325,0.9097660601559598,1363,0.8529411764705882,0.8656716417910447,34,odd_harmonic,lesion_equalize_ft,0.6767626613704072,360
CatBoost,0.7166051912851665,0.025591224842651226,0.7155774666299097,0.02863833471886344,0.785501489572989,0.6299003336511217,0.6132583115733088,0.7931222542539447,0.6052403575124207,0.6299003336511217,0.9440226696017884,0.6062393588663215,283.59932112693787,0.5735294117647058,0.5492957746478874,68,0.72,0.6457399103139013,100,0.5951219512195122,0.5622119815668203,205,0.18181818181818182,0.2222222222222222,22,0.6216216216216216,0.549800796812749,222,0.8642699926632429,0.8978658536585366,1363,0.8529411764705882,0.8656716417910447,34,odd_harmonic,lesion_equalize_ft,0.6767626613704072,360
Gradient Boosting,0.6991818479730235,0.03564387742723215,0.6987484245699132,0.039393133214051114,0.7636544190665343,0.6091931463508845,0.604073448904518,0.7757133045503258,0.6183236683452563,0.6091931463508845,0.9406325936881685,0.5751497357604228,303.83434891700745,0.5441176470588235,0.5736434108527132,68,0.73,0.6606334841628959,100,0.6195121951219512,0.5509761388286334,205,0.18181818181818182,0.23529411764705882,22,0.6216216216216216,0.5092250922509225,222,0.8319882611885546,0.8790697674418605,1363,0.7352941176470589,0.819672131147541,34,odd_harmonic,lesion_equalize_ft,0.6767626613704072,360
Extra Trees,0.6776727250200543,0.024169534920752148,0.6775459599168767,0.028200933165253652,0.7567030784508441,0.6151107191375882,0.584045886923449,0.7681459947818379,0.5695672479747411,0.6151107191375882,0.9299556905737874,0.5640696492007693,3.471654176712036,0.6029411764705882,0.5,68,0.76,0.6307053941908713,100,0.5658536585365853,0.5536992840095465,205,0.18181818181818182,0.21621621621621623,22,0.6036036036036037,0.5143953934740882,222,0.8268525311812179,0.8733049205734211,1363,0.7647058823529411,0.8,34,odd_harmonic,lesion_equalize_ft,0.6767626613704072,360
KNN,0.567154889715462,0.017101118161942624,0.5690798243600282,0.01690347547518375,0.6012909632571996,0.499840224123164,0.41979527113227616,0.6421980330043973,0.3895873949199101,0.499840224123164,0.7717931162353632,0.37645087461173776,0.029747962951660156,0.47058823529411764,0.3404255319148936,68,0.48,0.41025641025641024,100,0.4,0.3668903803131991,205,0.22727272727272727,0.12987012987012986,22,0.6261261261261262,0.40115440115440115,222,0.6478356566397653,0.7661605206073753,1363,0.6470588235294118,0.5238095238095238,34,odd_harmonic,lesion_equalize_ft,0.6767626613704072,360
Logistic Regression,0.6901138248513292,0.022903437657087713,0.6791228390573534,0.020428730713070727,0.6504468718967229,0.6600741963993864,0.49340979911468735,0.6883025587560935,0.4422709719303205,0.6600741963993864,0.8933821363157767,0.4516877396451078,98.83539319038391,0.6617647058823529,0.3474903474903475,68,0.74,0.5421245421245421,100,0.4097560975609756,0.417910447761194,205,0.5909090909090909,0.19548872180451127,22,0.5945945945945946,0.5019011406844106,222,0.6823184152604549,0.7958921694480102,1363,0.9411764705882353,0.6530612244897959,34,odd_harmonic,lesion_equalize_ft,0.6767626613704072,360
MLP,0.6712787759442278,0.01883672923597635,0.6713703456179388,0.0228686131971287,0.7850049652432969,0.6206207974573393,0.6064732377564425,0.7890248189182371,0.5958541287611421,0.6206207974573393,0.9296713558279616,0.5952104547106587,2.8003110885620117,0.5,0.5074626865671642,68,0.68,0.6126126126126126,100,0.5951219512195122,0.5422222222222223,205,0.2727272727272727,0.2857142857142857,22,0.5315315315315315,0.540045766590389,222,0.8826118855465884,0.9001122334455668,1363,0.8823529411764706,0.8571428571428571,34,odd_harmonic,lesion_equalize_ft,0.6767626613704072,360
Deep DNN,0.6496091659555592,0.017733584965155598,0.600998806424202,0.009311051713254328,0.5784508440913605,0.6034574296223162,0.4016732992331259,0.6107701270967025,0.36203885376929723,0.6034574296223162,0.8645133533686876,0.39244103620226867,78.68366599082947,0.0,0.0,68,0.79,0.5766423357664233,100,0.5658536585365853,0.46774193548387094,205,0.5909090909090909,0.23008849557522124,22,0.8198198198198198,0.4595959595959596,222,0.5458547322083639,0.7018867924528301,1363,0.9117647058823529,0.37575757575757573,34,odd_harmonic,lesion_equalize_ft,0.6767626613704072,360
