classifier,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_macro_ovr_auc,test_cohen_kappa,fit_seconds,recall_akiec,f1_akiec,support_akiec,recall_bcc,f1_bcc,support_bcc,recall_bkl,f1_bkl,support_bkl,recall_df,f1_df,support_df,recall_mel,f1_mel,support_mel,recall_nv,f1_nv,support_nv,recall_vasc,f1_vasc,support_vasc,lambda,suffix,majority_baseline,n_features
SVM (RBF),0.6594467255564705,0.019305354096463653,0.6591241994861446,0.023735819659819808,0.7408142999006951,0.6371445857084339,0.6015829864308778,0.7594537276480671,0.5850012385978959,0.6371445857084339,0.9182614603769084,0.5542543728360534,166.53023600578308,0.6323529411764706,0.5443037974683544,68,0.62,0.5821596244131455,100,0.6292682926829268,0.548936170212766,205,0.36363636363636365,0.35555555555555557,22,0.6936936936936937,0.5283018867924528,222,0.7857666911225238,0.8581730769230769,1363,0.7352941176470589,0.7936507936507936,34,odd_harmonic,lesion_equalize_hybrid,0.6767626613704072,360
LightGBM,0.6506728574721127,0.02598347731872459,0.6480826094910972,0.025088843365208433,0.8003972194637538,0.6090181418991402,0.6170586377737325,0.800738118346525,0.6371171886919764,0.6090181418991402,0.9440941633543439,0.6152576249632902,59.89819121360779,0.5588235294117647,0.5428571428571428,68,0.73,0.6636363636363637,100,0.5560975609756098,0.5671641791044776,205,0.22727272727272727,0.29411764705882354,22,0.5495495495495496,0.5350877192982456,222,0.9060895084372708,0.9100957995578481,1363,0.7352941176470589,0.8064516129032258,34,odd_harmonic,lesion_equalize_hybrid,0.6767626613704072,360
CatBoost,0.6519540301471721,0.022530381869598926,0.6506714595350238,0.024012058027541687,0.7805362462760675,0.6140307248259893,0.6026607342874003,0.7881913849661197,0.5976518365898701,0.6140307248259893,0.9408101255763913,0.5953608141984722,244.3465769290924,0.5735294117647058,0.5571428571428572,68,0.71,0.6425339366515838,100,0.5707317073170731,0.5531914893617021,205,0.22727272727272727,0.25,22,0.6171171171171171,0.5393700787401575,222,0.8642699926632429,0.8951367781155015,1363,0.7352941176470589,0.78125,34,odd_harmonic,lesion_equalize_hybrid,0.6767626613704072,360
Gradient Boosting,0.620495269479086,0.03091316346651628,0.6161254881094553,0.033994325596478914,0.7621648460774578,0.6035394409934388,0.6016749447670781,0.7724430780395253,0.6193391230261779,0.6035394409934388,0.9364774410765314,0.5667222089978576,291.8286340236664,0.5441176470588235,0.5441176470588235,68,0.68,0.6153846153846154,100,0.5658536585365853,0.5167037861915368,205,0.22727272727272727,0.30303030303030304,22,0.5990990990990991,0.5115384615384615,222,0.8437270726338958,0.8822401227464519,1363,0.7647058823529411,0.8387096774193549,34,odd_harmonic,lesion_equalize_hybrid,0.6767626613704072,360
Extra Trees,0.5803317342392764,0.03155337122367309,0.5767281638258503,0.03392405609296918,0.7492552135054618,0.5493585553006233,0.5487465732433191,0.758055090436894,0.5744388206588471,0.5493585553006233,0.9246698562417552,0.537340047582006,2.8777060508728027,0.5441176470588235,0.4625,68,0.64,0.5688888888888889,100,0.5365853658536586,0.5238095238095238,205,0.18181818181818182,0.22857142857142856,22,0.536036036036036,0.476,222,0.8481291269258987,0.8777524677296887,1363,0.5588235294117647,0.7037037037037037,34,odd_harmonic,lesion_equalize_hybrid,0.6767626613704072,360
KNN,0.4869332700764216,0.013296141702557024,0.4852346577644471,0.014311622410947593,0.6271102284011917,0.5006174455511779,0.4305854530870832,0.6642390888375128,0.4039361565073155,0.5006174455511779,0.7518738356595287,0.40089012050216233,0.022366046905517578,0.5,0.3333333333333333,68,0.52,0.47706422018348627,100,0.3951219512195122,0.38571428571428573,205,0.22727272727272727,0.136986301369863,22,0.6171171171171171,0.408955223880597,222,0.685986793837124,0.7910321489001692,1363,0.5588235294117647,0.4810126582278481,34,odd_harmonic,lesion_equalize_hybrid,0.6767626613704072,360
Logistic Regression,0.664956232278759,0.023560110688118086,0.6498689116503626,0.016628754597209954,0.6420059582919563,0.6422602014154112,0.4591273474248648,0.6785068961915397,0.4184456044745411,0.6422602014154112,0.8877017991387122,0.43379892428759603,92.9208869934082,0.6911764705882353,0.41409691629955947,68,0.65,0.5098039215686274,100,0.25365853658536586,0.31044776119402984,205,0.6818181818181818,0.17341040462427745,22,0.6126126126126126,0.4865831842576029,222,0.6947909024211298,0.8028825773632895,1363,0.9117647058823529,0.5166666666666667,34,odd_harmonic,lesion_equalize_hybrid,0.6767626613704072,360
MLP,0.6336446796474402,0.03190527377003609,0.6320613253288835,0.03373451371751504,0.7750744786494538,0.5885633856208301,0.5842350156557198,0.7775091972596291,0.5816985996928629,0.5885633856208301,0.9203872353934213,0.570519697612335,5.666969060897827,0.47058823529411764,0.48854961832061067,68,0.62,0.5662100456621004,100,0.5804878048780487,0.5707434052757794,205,0.3181818181818182,0.3111111111111111,22,0.5135135135135135,0.504424778761062,222,0.8818782098312545,0.8910303928836175,1363,0.7352941176470589,0.7575757575757576,34,odd_harmonic,lesion_equalize_hybrid,0.6767626613704072,360
Deep DNN,0.5913688620806995,0.012905026136538615,0.5535751368007172,0.012231879110512822,0.564051638530288,0.5541001059048535,0.40180887797459647,0.5937413542579586,0.3649642448465718,0.5541001059048535,0.8441621959311673,0.3773422397188644,12.618772029876709,0.0,0.0,68,0.74,0.4820846905537459,100,0.6780487804878049,0.4868651488616462,205,0.3181818181818182,0.19718309859154928,22,0.7972972972972973,0.43118148599269185,222,0.5216434336023478,0.6820143884892086,1363,0.8235294117647058,0.5333333333333333,34,odd_harmonic,lesion_equalize_hybrid,0.6767626613704072,360
