,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,42,16,6,0,2,2,0
true_bcc,12,77,3,0,2,6,0
true_bkl,20,14,112,0,29,29,1
true_df,9,5,2,4,1,1,0
true_mel,9,3,22,0,133,55,0
true_nv,11,23,58,7,118,1142,4
true_vasc,0,3,1,0,1,4,25
