,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,41,12,8,1,6,0,0
true_bcc,12,66,7,0,7,7,1
true_bkl,12,11,129,4,33,16,0
true_df,6,3,2,9,2,0,0
true_mel,4,4,31,0,159,21,3
true_nv,10,22,68,14,147,1101,1
true_vasc,0,2,1,0,3,4,24
