classifier,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_macro_ovr_auc,test_cohen_kappa,fit_seconds,recall_akiec,f1_akiec,support_akiec,recall_bcc,f1_bcc,support_bcc,recall_bkl,f1_bkl,support_bkl,recall_df,f1_df,support_df,recall_mel,f1_mel,support_mel,recall_nv,f1_nv,support_nv,recall_vasc,f1_vasc,support_vasc,lambda,suffix,majority_baseline,n_features
SVM (RBF),0.6797795627818412,0.01652880619360646,0.6769801821101155,0.02287642968350689,0.7591857000993049,0.6473108442834794,0.6079613875993755,0.776695519824943,0.5870515225350682,0.6473108442834794,0.939264052111086,0.582754353508244,220.7308647632599,0.6029411764705882,0.5359477124183006,68,0.66,0.6,100,0.6292682926829268,0.5720620842572062,205,0.4090909090909091,0.36,22,0.7162162162162162,0.5492227979274611,222,0.8077769625825385,0.8765923566878981,1363,0.7058823529411765,0.7619047619047619,34,odd_harmonic,lesion_equalize_hybrid_meta,0.6767626613704072,360
LightGBM,0.6832431020779663,0.033019029121057725,0.6819069187831379,0.031001556054102562,0.8133068520357497,0.6264522314053637,0.6380126838046941,0.813596025526541,0.657699728822048,0.6264522314053637,0.9546774253812645,0.638829854208717,85.00546789169312,0.5441176470588235,0.5401459854014599,68,0.74,0.6883720930232559,100,0.5902439024390244,0.6142131979695431,205,0.2727272727272727,0.32432432432432434,22,0.5900900900900901,0.5646551724137931,222,0.9126925898752751,0.9147058823529411,1363,0.7352941176470589,0.819672131147541,34,odd_harmonic,lesion_equalize_hybrid_meta,0.6767626613704072,360
CatBoost,0.6859553462262645,0.03962776365101956,0.6836761659913885,0.039683334219277985,0.7999006951340616,0.62846098542961,0.6205057051850008,0.8057032049824386,0.6177553678005161,0.62846098542961,0.9533796376629491,0.6270903294309103,279.2176492214203,0.5735294117647058,0.5571428571428572,68,0.71,0.6543778801843319,100,0.6,0.5927710843373494,205,0.22727272727272727,0.25,22,0.6396396396396397,0.568,222,0.8840792369772561,0.9087481146304676,1363,0.7647058823529411,0.8125,34,odd_harmonic,lesion_equalize_hybrid_meta,0.6767626613704072,360
Gradient Boosting,0.6582668065513151,0.03771325334202498,0.6579623055321158,0.03876111815201724,0.7924528301886793,0.6338770535418469,0.6340260233569862,0.8009459319009573,0.6462492308922192,0.6338770535418469,0.951222704750268,0.6188082811932584,277.4886872768402,0.6029411764705882,0.5985401459854015,68,0.66,0.631578947368421,100,0.6292682926829268,0.5944700460829493,205,0.2727272727272727,0.3157894736842105,22,0.6711711711711712,0.5643939393939394,222,0.8657373440939105,0.9000762776506483,1363,0.7352941176470589,0.8333333333333334,34,odd_harmonic,lesion_equalize_hybrid_meta,0.6767626613704072,360
Extra Trees,0.5936886670996648,0.03780299621227164,0.5907719502006767,0.03651928972786107,0.753227408142999,0.532112507128807,0.5399009378426117,0.7573490699451971,0.5786421741112008,0.532112507128807,0.9338864609903865,0.5325564073047547,2.8164939880371094,0.5294117647058824,0.4528301886792453,68,0.63,0.5625,100,0.526829268292683,0.5294117647058824,205,0.18181818181818182,0.23529411764705882,22,0.49099099099099097,0.4658119658119658,222,0.8657373440939105,0.8796123742079761,1363,0.5,0.6538461538461539,34,odd_harmonic,lesion_equalize_hybrid_meta,0.6767626613704072,360
KNN,0.47814991533361056,0.018190104003263697,0.4743402372590014,0.020170662589716167,0.6290963257199603,0.4893207898071105,0.4247499092995804,0.6665395253448692,0.40160650180576896,0.4893207898071105,0.7582454606437329,0.4048821202531645,0.014448881149291992,0.45588235294117646,0.32124352331606215,68,0.48,0.4383561643835616,100,0.3853658536585366,0.3752969121140142,205,0.22727272727272727,0.136986301369863,22,0.6576576576576577,0.42441860465116277,222,0.6896551724137931,0.7969478592623993,1363,0.5294117647058824,0.48,34,odd_harmonic,lesion_equalize_hybrid_meta,0.6767626613704072,360
Logistic Regression,0.6953910010376332,0.01051161569940374,0.6834676499996883,0.012483287017157842,0.6866931479642503,0.6793661308744187,0.5052469338663257,0.7200617541670584,0.4635092658892979,0.6793661308744187,0.9106328436503192,0.48734244108508806,96.65711379051208,0.6470588235294118,0.41706161137440756,68,0.62,0.5188284518828452,100,0.3853658536585366,0.44886363636363635,205,0.8181818181818182,0.21176470588235294,22,0.5990990990990991,0.5115384615384615,222,0.7446808510638298,0.8360790774299836,1363,0.9411764705882353,0.5925925925925926,34,odd_harmonic,lesion_equalize_hybrid_meta,0.6767626613704072,360
MLP,0.6511727970683644,0.03343149393394722,0.6484529723597785,0.03439824538298455,0.7899702085402185,0.619360746037174,0.6053639936034483,0.7933809246952868,0.5929568317987423,0.619360746037174,0.9406490240696399,0.6013210024793365,4.880756378173828,0.5588235294117647,0.5314685314685315,68,0.6,0.594059405940594,100,0.5951219512195122,0.5674418604651162,205,0.4090909090909091,0.375,22,0.545045045045045,0.5401785714285714,222,0.8921496698459281,0.9047619047619048,1363,0.7352941176470589,0.7246376811594203,34,odd_harmonic,lesion_equalize_hybrid_meta,0.6767626613704072,360
Deep DNN,0.6032187701152519,0.03180741651264904,0.5636891595765332,0.023052374575524993,0.5754716981132075,0.5752634798413006,0.42395292198281875,0.6064932035922688,0.3843578935360657,0.5752634798413006,0.8828536452289749,0.38504585452259865,14.506978988647461,0.0,0.0,68,0.64,0.5245901639344263,100,0.7268292682926829,0.4925619834710744,205,0.45454545454545453,0.2564102564102564,22,0.7522522522522522,0.41133004926108374,222,0.541452677916361,0.6978723404255319,1363,0.9117647058823529,0.5849056603773585,34,odd_harmonic,lesion_equalize_hybrid_meta,0.6767626613704072,360
