classifier,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_macro_ovr_auc,test_cohen_kappa,fit_seconds,recall_akiec,f1_akiec,support_akiec,recall_bcc,f1_bcc,support_bcc,recall_bkl,f1_bkl,support_bkl,recall_df,f1_df,support_df,recall_mel,f1_mel,support_mel,recall_nv,f1_nv,support_nv,recall_vasc,f1_vasc,support_vasc,lambda,suffix,majority_baseline,n_features
SVM (RBF),0.6451917012029067,0.017518685494005544,0.6468558952354642,0.01988037454870037,0.7095332671300894,0.6141930996591416,0.5616183636690488,0.7347527463042701,0.5455224227659887,0.6141930996591416,0.920478884560204,0.5124687324782913,220.38196396827698,0.5588235294117647,0.4691358024691358,68,0.54,0.5094339622641509,100,0.5365853658536586,0.4824561403508772,205,0.45454545454545453,0.29411764705882354,22,0.7162162162162162,0.5129032258064516,222,0.7578870139398386,0.8436096365863618,1363,0.7352941176470589,0.819672131147541,34,odd_harmonic,lesion_equalize,0.6767626613704072,360
LightGBM,0.6272137034633987,0.026580074178468298,0.6243626219329264,0.026904459246262,0.79493545183714,0.5658768636363527,0.5793064140467463,0.7921076492143377,0.6100980949557865,0.5658768636363527,0.9408962393157275,0.5973440981653538,63.81924510002136,0.5,0.5074626865671642,68,0.67,0.6291079812206573,100,0.551219512195122,0.5692695214105793,205,0.18181818181818182,0.25806451612903225,22,0.527027027027027,0.5282167042889391,222,0.9134262655906089,0.9067734887108522,1363,0.6176470588235294,0.65625,34,odd_harmonic,lesion_equalize,0.6767626613704072,360
Gradient Boosting,0.6048011409149567,0.02518287050744967,0.6021414517312003,0.025525448510407354,0.7552135054617676,0.5552160703257796,0.5597087738716614,0.7646822836525368,0.5895987545828667,0.5552160703257796,0.9339286440540195,0.5517070900028942,292.4735789299011,0.47058823529411764,0.49230769230769234,68,0.67,0.5903083700440529,100,0.5707317073170731,0.5282167042889391,205,0.18181818181818182,0.23529411764705882,22,0.5900900900900901,0.5009560229445507,222,0.8444607483492297,0.8799694189602446,1363,0.5588235294117647,0.6909090909090909,34,odd_harmonic,lesion_equalize,0.6767626613704072,360
Extra Trees,0.5616766184046621,0.0315548366963197,0.5569098326651933,0.03486405887373267,0.7408142999006951,0.5143663931899541,0.5222444933470952,0.7464301091304523,0.5637295276290926,0.5143663931899541,0.919846434263138,0.5123633707109476,2.7975783348083496,0.5147058823529411,0.44871794871794873,68,0.6,0.5309734513274337,100,0.5073170731707317,0.4988009592326139,205,0.18181818181818182,0.23529411764705882,22,0.46846846846846846,0.4388185654008439,222,0.8576669112252384,0.8756554307116104,1363,0.47058823529411764,0.6274509803921569,34,odd_harmonic,lesion_equalize,0.6767626613704072,360
KNN,0.45835658535940454,0.0164032860618958,0.4558596428000577,0.018984026637666986,0.5883813306852036,0.427905380013903,0.37900417222557686,0.6339148242004177,0.3697673062986956,0.427905380013903,0.7309462854255794,0.34991455394198545,0.014327049255371094,0.38235294117647056,0.25,68,0.41,0.37272727272727274,100,0.36585365853658536,0.35629453681710216,205,0.13636363636363635,0.06521739130434782,22,0.5720720720720721,0.3675832127351664,222,0.6581071166544388,0.770618556701031,1363,0.47058823529411764,0.47058823529411764,34,odd_harmonic,lesion_equalize,0.6767626613704072,360
Logistic Regression,0.6621000364565132,0.02288337950271977,0.6471036877355578,0.019732080410808983,0.6564051638530288,0.636930412976343,0.4708740606990255,0.691706066001191,0.4339158711596424,0.636930412976343,0.894621324241138,0.4477361822894439,89.74013805389404,0.6617647058823529,0.4090909090909091,68,0.56,0.4666666666666667,100,0.3024390243902439,0.3712574850299401,205,0.6818181818181818,0.18404907975460122,22,0.6261261261261262,0.486013986013986,222,0.714600146735143,0.8154039347007116,1363,0.9117647058823529,0.5636363636363636,34,odd_harmonic,lesion_equalize,0.6767626613704072,360
MLP,0.6143915507363005,0.021109405560084005,0.6144480565516688,0.023193153971027794,0.7527308838133069,0.5651532733867465,0.5546221377992582,0.7553209525279073,0.5472863450428875,0.5651532733867465,0.9086452103605808,0.5266863390690986,7.488458871841431,0.5,0.4857142857142857,68,0.57,0.5454545454545454,100,0.47804878048780486,0.48157248157248156,205,0.36363636363636365,0.3018867924528302,22,0.46396396396396394,0.45879732739420936,222,0.8745414526779164,0.8816568047337278,1363,0.7058823529411765,0.7272727272727273,34,odd_harmonic,lesion_equalize,0.6767626613704072,360
