classifier,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_macro_ovr_auc,test_cohen_kappa,fit_seconds,recall_akiec,f1_akiec,support_akiec,recall_bcc,f1_bcc,support_bcc,recall_bkl,f1_bkl,support_bkl,recall_df,f1_df,support_df,recall_mel,f1_mel,support_mel,recall_nv,f1_nv,support_nv,recall_vasc,f1_vasc,support_vasc,lambda,suffix,majority_baseline,n_features
SVM (RBF),0.6529100789323448,0.028781940780082314,0.6531571440192034,0.02458564305493774,0.762855716425362,0.7208413390016718,0.6826159053476702,0.779139892607459,0.6613493899429738,0.7208413390016718,0.9466665185786333,0.5927526951495441,217.96404600143433,0.7384615384615385,0.6486486486486487,65,0.7669902912621359,0.6899563318777293,103,0.6454545454545455,0.5867768595041323,220,0.6521739130434783,0.625,23,0.6547085201793722,0.512280701754386,223,0.8023862788963461,0.8694949494949495,1341,0.7857142857142857,0.8461538461538461,28,odd_harmonic,image_equalize_hybrid,0.6694957563654518,360
LightGBM,0.6610174164504765,0.009941221899726018,0.6573980025353295,0.005232407064506911,0.835247129306041,0.7247629241987467,0.7351138528202406,0.8356194508357979,0.7579096837812876,0.7247629241987467,0.9678286750644945,0.6864277124294629,66.48852801322937,0.6923076923076923,0.6976744186046512,65,0.7766990291262136,0.7373271889400922,103,0.6454545454545455,0.6543778801843319,220,0.5217391304347826,0.6486486486486487,23,0.6278026905829597,0.611353711790393,223,0.9164802386278896,0.9192221391174271,1341,0.8928571428571429,0.8771929824561403,28,odd_harmonic,image_equalize_hybrid,0.6694957563654518,360
CatBoost,0.6538131859680557,0.009247533430296481,0.6492019819052126,0.010053873226330716,0.8077883175237144,0.7280435920554515,0.7190122155480798,0.8156726579864413,0.7175198919483164,0.7280435920554515,0.9628244489366208,0.6522981807262216,319.66082406044006,0.7230769230769231,0.7230769230769231,65,0.7572815533980582,0.6964285714285714,103,0.6454545454545455,0.6214442013129103,220,0.5652173913043478,0.6190476190476191,23,0.6816143497757847,0.5823754789272031,223,0.866517524235645,0.9018238261544431,1341,0.8571428571428571,0.8888888888888888,28,odd_harmonic,image_equalize_hybrid,0.6694957563654518,360
Gradient Boosting,0.6378062694320649,0.013208665342243643,0.632786683367961,0.011781911906505387,0.7973040439340988,0.7019931989358933,0.701445149437168,0.8051968856105931,0.7190334646253638,0.7019931989358933,0.9581706486418176,0.633010125844234,318.2204761505127,0.7076923076923077,0.696969696969697,65,0.7475728155339806,0.7230046948356808,103,0.65,0.59958071278826,220,0.43478260869565216,0.5555555555555556,23,0.6591928251121076,0.5697674418604651,223,0.8575689783743475,0.8925106713232441,1341,0.8571428571428571,0.8727272727272727,28,odd_harmonic,image_equalize_hybrid,0.6694957563654518,360
Extra Trees,0.5847246379340765,0.0223366175039211,0.577211467177508,0.022330222202306408,0.7708437343984024,0.6509656748736211,0.6507312494174844,0.7804657342683936,0.6842137181000795,0.6509656748736211,0.9461474506631091,0.5865766711709381,3.6417601108551025,0.7076923076923077,0.6301369863013698,65,0.6601941747572816,0.6071428571428571,103,0.6,0.567741935483871,220,0.34782608695652173,0.48484848484848486,23,0.5695067264573991,0.49416342412451364,223,0.8501118568232662,0.8864696734059098,1341,0.8214285714285714,0.8846153846153846,28,odd_harmonic,image_equalize_hybrid,0.6694957563654518,360
KNN,0.4925308229364873,0.027154639017325326,0.49124068407757343,0.02728753820987669,0.6580129805292062,0.5938897081540755,0.5079161289986563,0.6904204918126562,0.4685088152654665,0.5938897081540755,0.8231702623301373,0.45430483330516147,0.02502608299255371,0.5384615384615384,0.4268292682926829,65,0.5145631067961165,0.47533632286995514,103,0.5272727272727272,0.464,220,0.43478260869565216,0.2564102564102564,23,0.6591928251121076,0.45161290322580644,223,0.6972408650260999,0.8043010752688172,1341,0.7857142857142857,0.676923076923077,28,odd_harmonic,image_equalize_hybrid,0.6694957563654518,360
Logistic Regression,0.6738653837646487,0.027699124109195793,0.6645531578216455,0.02552826651602521,0.6490264603095357,0.7393322692798356,0.536905399992449,0.6854716857376272,0.4860712807331589,0.7393322692798356,0.9151689385057986,0.47090225224886717,107.37879276275635,0.7846153846153846,0.5895953757225434,65,0.8155339805825242,0.6268656716417911,103,0.4318181818181818,0.4846938775510204,220,0.8260869565217391,0.26573426573426573,23,0.7488789237668162,0.4638888888888889,223,0.639821029082774,0.7743682310469314,1341,0.9285714285714286,0.5531914893617021,28,odd_harmonic,image_equalize_hybrid,0.6694957563654518,360
MLP,0.6372564928760642,0.018126311267463304,0.6333329794653922,0.016652350467151217,0.8017973040439341,0.6862477827423809,0.6760036245583576,0.8035349734913259,0.6666754481915671,0.6862477827423809,0.9518610753819142,0.6268077291847449,6.416759014129639,0.6615384615384615,0.6466165413533834,65,0.6893203883495146,0.6484018264840182,103,0.6272727272727273,0.6146993318485523,220,0.5652173913043478,0.5531914893617021,23,0.547085201793722,0.547085201793722,223,0.8918717375093214,0.9006024096385542,1341,0.8214285714285714,0.8214285714285714,28,odd_harmonic,image_equalize_hybrid,0.6694957563654518,360
Deep DNN,0.658606400550265,0.020155147397367963,0.6584612269725172,0.018536989803114405,0.6605092361457813,0.6948201439541594,0.621574580668388,0.6948228179118154,0.5949880748250507,0.6948201439541594,0.9330264400192155,0.4735886057309908,15.767672061920166,0.8,0.6380368098159509,65,0.6213592233009708,0.6530612244897959,103,0.6772727272727272,0.49337748344370863,220,0.6521739130434783,0.5769230769230769,23,0.6367713004484304,0.41642228739002934,223,0.6547352721849367,0.7800977343402932,1341,0.8214285714285714,0.7931034482758621,28,odd_harmonic,image_equalize_hybrid,0.6694957563654518,360
