,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,38,13,10,1,4,2,0
true_bcc,5,73,11,0,5,6,0
true_bkl,13,11,114,0,32,34,1
true_df,8,4,3,5,2,0,0
true_mel,4,6,19,1,122,69,1
true_nv,4,12,40,5,66,1235,1
true_vasc,0,1,0,0,3,5,25
