,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,26,12,9,8,10,3,0
true_bcc,21,41,9,8,14,6,1
true_bkl,30,18,75,9,54,18,1
true_df,6,4,5,3,4,0,0
true_mel,20,4,30,5,127,35,1
true_nv,37,38,84,37,255,897,15
true_vasc,0,3,4,0,5,6,16
