classifier,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_macro_ovr_auc,test_cohen_kappa,fit_seconds,recall_akiec,f1_akiec,support_akiec,recall_bcc,f1_bcc,support_bcc,recall_bkl,f1_bkl,support_bkl,recall_df,f1_df,support_df,recall_mel,f1_mel,support_mel,recall_nv,f1_nv,support_nv,recall_vasc,f1_vasc,support_vasc,lambda,suffix,majority_baseline,n_features
SVM (RBF),0.7224382396314087,0.024153552544860197,0.7207194515379353,0.028094306467858012,0.7715988083416088,0.6276675645524847,0.6023136652684299,0.7853510748435225,0.591303171165143,0.6276675645524847,0.9461062704357894,0.597281594250904,146.0521080493927,0.5147058823529411,0.4794520547945205,68,0.69,0.6272727272727273,100,0.6048780487804878,0.5523385300668151,205,0.2727272727272727,0.3,22,0.7477477477477478,0.5886524822695035,222,0.8283198826118855,0.887229862475442,1363,0.7352941176470589,0.78125,34,odd_harmonic,lesion_equalize_ft_meta,0.6767626613704072,360
LightGBM,0.7264815551880104,0.02614428671893445,0.7218287197542207,0.024766503540965448,0.8182720953326713,0.6246856269385272,0.627963894981062,0.8191967614525474,0.6408617336810352,0.6246856269385272,0.9556465020232253,0.6516338318652745,63.065497636795044,0.5294117647058824,0.5070422535211268,68,0.74,0.6820276497695853,100,0.6195121951219512,0.625615763546798,205,0.18181818181818182,0.23529411764705882,22,0.6261261261261262,0.6017316017316018,222,0.9112252384446075,0.9186390532544378,1363,0.7647058823529411,0.8253968253968254,34,odd_harmonic,lesion_equalize_ft_meta,0.6767626613704072,360
CatBoost,0.7394746123235707,0.03109617702070931,0.7366353415513549,0.031629224677835716,0.8103277060575969,0.647043846423022,0.6400349995820177,0.8154371445617952,0.6397423175277618,0.647043846423022,0.9551952284664231,0.6464385258238186,273.6684260368347,0.5588235294117647,0.5507246376811594,68,0.73,0.6728110599078341,100,0.6487804878048781,0.6229508196721312,205,0.22727272727272727,0.2702702702702703,22,0.6531531531531531,0.5894308943089431,222,0.8877476155539251,0.9125188536953243,1363,0.8235294117647058,0.8615384615384616,34,odd_harmonic,lesion_equalize_ft_meta,0.6767626613704072,360
Gradient Boosting,0.7202184846685742,0.03896376153247086,0.718521231949546,0.040732991267452855,0.7899702085402185,0.6046820222928709,0.6064450566827204,0.7961618060825365,0.6299285178556271,0.6046820222928709,0.9518328919938016,0.6100650866448796,285.3925738334656,0.5,0.5151515151515151,68,0.7,0.6511627906976745,100,0.6097560975609756,0.576036866359447,205,0.18181818181818182,0.25806451612903225,22,0.6306306306306306,0.547945205479452,222,0.8752751283932502,0.9031037093111279,1363,0.7352941176470589,0.7936507936507936,34,odd_harmonic,lesion_equalize_ft_meta,0.6767626613704072,360
Extra Trees,0.6933698559421749,0.027753872875264093,0.6927022660344508,0.029926225597185566,0.7621648460774578,0.6125796553876756,0.5861417270074024,0.7716685411576252,0.5838002297462115,0.6125796553876756,0.9366425809176253,0.5692817224694955,3.272698163986206,0.6176470588235294,0.49122807017543857,68,0.77,0.6390041493775933,100,0.5463414634146342,0.5476772616136919,205,0.18181818181818182,0.24242424242424243,22,0.5990990990990991,0.5236220472440944,222,0.8378576669112252,0.8777863182167563,1363,0.7352941176470589,0.78125,34,odd_harmonic,lesion_equalize_ft_meta,0.6767626613704072,360
KNN,0.5724590579691969,0.018239301106062672,0.57536105788417,0.01812619238221691,0.6146971201588878,0.5083719707995321,0.43089382213635924,0.6538363404265788,0.4001102474866073,0.5083719707995321,0.7680126999621886,0.38982897326960664,0.015012025833129883,0.5,0.3675675675675676,68,0.51,0.44155844155844154,100,0.3902439024390244,0.36281179138321995,205,0.22727272727272727,0.12195121951219512,22,0.6171171171171171,0.4065281899109792,222,0.6669112252384446,0.7792541791684526,1363,0.6470588235294118,0.5365853658536586,34,odd_harmonic,lesion_equalize_ft_meta,0.6767626613704072,360
Logistic Regression,0.7265313344051061,0.028705599349880036,0.7156523433844245,0.026340885119296067,0.692154915590864,0.7077080400279815,0.5290884177671906,0.720935323511761,0.4705754933984497,0.7077080400279815,0.9109718502513118,0.49621113396471683,97.74237179756165,0.7058823529411765,0.41739130434782606,68,0.7,0.5691056910569106,100,0.45365853658536587,0.4603960396039604,205,0.8181818181818182,0.288,22,0.5675675675675675,0.5101214574898786,222,0.7380777696258254,0.83003300330033,1363,0.9705882352941176,0.6285714285714286,34,odd_harmonic,lesion_equalize_ft_meta,0.6767626613704072,360
MLP,0.7067638292974318,0.027000690371908328,0.704019075416722,0.02774632045795802,0.7964250248262165,0.6169052049131859,0.6153954234554601,0.8005139305081729,0.61691676277717,0.6169052049131859,0.9439351821219474,0.6148582782568949,3.707533836364746,0.4852941176470588,0.49624060150375937,68,0.6,0.5687203791469194,100,0.6292682926829268,0.5863636363636363,205,0.36363636363636365,0.35555555555555557,22,0.581081081081081,0.5657894736842105,222,0.8943506969919296,0.9097014925373135,1363,0.7647058823529411,0.8253968253968254,34,odd_harmonic,lesion_equalize_ft_meta,0.6767626613704072,360
Deep DNN,0.6652423979005236,0.022017425485137396,0.6144249264087313,0.014595046348515314,0.5963257199602781,0.6038351168995971,0.4336183614308025,0.6256027130447661,0.3876654337110176,0.6038351168995971,0.8819862799682345,0.40741960502168006,79.79079914093018,0.0,0.0,68,0.8,0.5079365079365079,100,0.5707317073170731,0.4854771784232365,205,0.5454545454545454,0.2608695652173913,22,0.8288288288288288,0.4520884520884521,222,0.57006603081438,0.7211136890951276,1363,0.9117647058823529,0.6078431372549019,34,odd_harmonic,lesion_equalize_ft_meta,0.6767626613704072,360
