,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,37,13,11,1,6,0,0
true_bcc,8,73,9,1,5,4,0
true_bkl,7,13,127,0,36,22,0
true_df,3,4,9,4,1,1,0
true_mel,3,3,24,1,138,53,0
true_nv,3,13,75,5,131,1134,2
true_vasc,0,2,1,0,3,3,25
