classifier,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_macro_ovr_auc,test_cohen_kappa,fit_seconds,recall_akiec,f1_akiec,support_akiec,recall_bcc,f1_bcc,support_bcc,recall_bkl,f1_bkl,support_bkl,recall_df,f1_df,support_df,recall_mel,f1_mel,support_mel,recall_nv,f1_nv,support_nv,recall_vasc,f1_vasc,support_vasc,lambda,suffix,majority_baseline,n_features
SVM (RBF),0.6441706254918357,0.020881866087564975,0.6456278541286607,0.017354484424317928,0.7468796804792811,0.6985870879601215,0.6446326283648928,0.7648756217372564,0.6140529310384241,0.6985870879601215,0.9449347734418188,0.568028288776582,282.6917109489441,0.7230769230769231,0.618421052631579,65,0.7184466019417476,0.6351931330472103,103,0.5818181818181818,0.5378151260504201,220,0.5652173913043478,0.4406779661016949,23,0.6502242152466368,0.5105633802816901,223,0.7941834451901566,0.8640973630831643,1341,0.8571428571428571,0.9056603773584906,28,odd_harmonic,image_equalize,0.6694957563654518,360
LightGBM,0.6343458711802242,0.014277117912491871,0.6296432123513123,0.014828394916325267,0.8267598602096855,0.6852364175129343,0.7162457470211595,0.8249880693341125,0.7687084220311343,0.6852364175129343,0.9650937069189175,0.6636596223241347,66.65249514579773,0.676923076923077,0.676923076923077,65,0.7184466019417476,0.7115384615384616,103,0.5954545454545455,0.6164705882352941,220,0.4782608695652174,0.6285714285714286,23,0.57847533632287,0.5771812080536913,223,0.9276659209545116,0.9184200812107789,1341,0.8214285714285714,0.8846153846153846,28,odd_harmonic,image_equalize,0.6694957563654518,360
CatBoost,0.6425348482287132,0.022478556854051788,0.6377876147664434,0.024409005848137575,0.8062905641537693,0.7198704527366003,0.7245426390264293,0.8128977893021792,0.7405562259088974,0.7198704527366003,0.960460320782697,0.6447198313301041,257.3067259788513,0.7692307692307693,0.7299270072992701,65,0.7572815533980582,0.7358490566037735,103,0.6181818181818182,0.5964912280701754,220,0.5652173913043478,0.6666666666666666,23,0.6322869955156951,0.5562130177514792,223,0.8754660700969426,0.9020361121782559,1341,0.8214285714285714,0.8846153846153846,28,odd_harmonic,image_equalize,0.6694957563654518,360
Gradient Boosting,0.6158677799063131,0.02513277066198485,0.6106976486709198,0.027938449655152884,0.7918122815776335,0.6872663712740817,0.6974284692200934,0.7999177761484139,0.7325105364771353,0.6872663712740817,0.957832604385804,0.6210901792952399,301.45557713508606,0.7230769230769231,0.6911764705882353,65,0.7281553398058253,0.704225352112676,103,0.6090909090909091,0.575107296137339,220,0.43478260869565216,0.5714285714285714,23,0.6322869955156951,0.5444015444015444,223,0.8620432513049963,0.893699265558562,1341,0.8214285714285714,0.9019607843137255,28,odd_harmonic,image_equalize,0.6694957563654518,360
Extra Trees,0.554966604783916,0.021930258949419766,0.5465868899004618,0.024330532582849018,0.7758362456315526,0.6150431556157939,0.6301521593084002,0.7816624767417779,0.6857292208775281,0.6150431556157939,0.9421726057333666,0.5859506822271955,3.1611900329589844,0.6153846153846154,0.5925925925925926,65,0.6796116504854369,0.5957446808510638,103,0.5818181818181818,0.5626373626373626,220,0.30434782608695654,0.4375,23,0.5381165919282511,0.49586776859504134,223,0.8717375093214019,0.8933893771494077,1341,0.7142857142857143,0.8333333333333334,28,odd_harmonic,image_equalize,0.6694957563654518,360
KNN,0.4521038202689045,0.013292406420865177,0.4522874729112738,0.016491840688259807,0.599600599101348,0.5257861762392683,0.4374305082953584,0.6422862085609509,0.40580600716162135,0.5257861762392683,0.7898981637692258,0.37866200871200484,0.022589921951293945,0.4,0.30952380952380953,65,0.4368932038834951,0.40540540540540543,103,0.43636363636363634,0.3779527559055118,220,0.391304347826087,0.1875,23,0.57847533632287,0.3816568047337278,223,0.6517524235645041,0.7714033539276258,1341,0.7857142857142857,0.6285714285714286,28,odd_harmonic,image_equalize,0.6694957563654518,360
Logistic Regression,0.6703516838065162,0.021586888613250334,0.6626299555204989,0.019954356334127125,0.6674987518721918,0.725619817241803,0.5537376085522078,0.7004584498103538,0.49894800420397567,0.725619817241803,0.9175590032910936,0.48566947312657516,96.1833610534668,0.7076923076923077,0.5411764705882353,65,0.8446601941747572,0.6692307692307692,103,0.4636363636363636,0.5037037037037037,220,0.782608695652174,0.32142857142857145,23,0.7174887892376681,0.4526166902404526,223,0.6703952274422073,0.7927689594356261,1341,0.8928571428571429,0.5952380952380952,28,odd_harmonic,image_equalize,0.6694957563654518,360
MLP,0.6178074423392247,0.023395625938521056,0.6150071167561497,0.023922100824113335,0.7793310034947578,0.6490753612788028,0.659469980480282,0.7797247896627147,0.6727220265542465,0.6490753612788028,0.9358571450831744,0.5782263923527493,6.138200044631958,0.5538461538461539,0.5333333333333333,65,0.6699029126213593,0.6634615384615384,103,0.5318181818181819,0.5492957746478874,220,0.5217391304347826,0.5714285714285714,23,0.5246636771300448,0.508695652173913,223,0.8844146159582401,0.8844146159582401,1341,0.8571428571428571,0.9056603773584906,28,odd_harmonic,image_equalize,0.6694957563654518,360
Deep DNN,0.6483742212540851,0.02825218993619817,0.6473097213182648,0.027728311372204797,0.6689965052421368,0.6629904268550356,0.5925057919110556,0.7020486311489047,0.5632079314362423,0.6629904268550356,0.9269814064566235,0.47888096608734865,12.868759155273438,0.6615384615384615,0.589041095890411,65,0.6310679611650486,0.6467661691542289,103,0.6409090909090909,0.49911504424778763,220,0.4782608695652174,0.4583333333333333,23,0.6591928251121076,0.42424242424242425,223,0.6771066368381805,0.7947483588621445,1341,0.8928571428571429,0.7352941176470589,28,odd_harmonic,image_equalize,0.6694957563654518,360
