,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,38,13,9,2,5,1,0
true_bcc,13,54,9,2,13,9,0
true_bkl,13,11,110,7,46,18,0
true_df,5,2,2,10,3,0,0
true_mel,8,5,26,2,159,22,0
true_nv,17,25,93,22,171,1033,2
true_vasc,0,2,2,1,1,3,25
