,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,34,8,9,4,6,7,0
true_bcc,9,57,11,2,7,12,2
true_bkl,11,10,98,2,37,46,1
true_df,5,4,0,8,3,2,0
true_mel,5,4,26,2,103,79,3
true_nv,8,22,57,13,69,1192,2
true_vasc,0,4,1,0,2,3,24
