,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,47,6,5,0,6,1,0
true_bcc,3,78,6,2,9,5,0
true_bkl,9,12,142,1,26,30,0
true_df,0,3,6,13,1,0,0
true_mel,3,2,30,0,152,36,0
true_nv,3,19,48,3,104,1162,2
true_vasc,0,1,0,0,1,2,24
