,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,34,11,8,6,8,1,0
true_bcc,17,51,10,6,8,6,2
true_bkl,23,21,80,6,53,21,1
true_df,6,3,5,5,2,1,0
true_mel,15,5,33,3,137,27,2
true_nv,22,37,99,34,241,909,21
true_vasc,0,3,1,0,3,5,22
