,pred_akiec,pred_bcc,pred_bkl,pred_df,pred_mel,pred_nv,pred_vasc
true_akiec,37,12,9,2,5,3,0
true_bcc,13,64,13,0,4,6,0
true_bkl,14,16,110,1,30,33,1
true_df,7,3,4,4,3,1,0
true_mel,8,6,23,1,119,65,0
true_nv,13,22,55,5,112,1156,0
true_vasc,0,2,1,0,5,7,19
